datetime,low_price,stock_units,unrealized_stock_mtm,stock_avg_price,accumulated_stocks_count,Trigger_limit,Accumulated_limit
04-01-2021 09:30,373.11,1,-2.22,375.33,0,0,0
04-01-2021 10:00,372.14,1,-3.19,375.33,0,0,0
04-01-2021 10:30,369.82,1,-5.51,375.33,0,0,0
04-01-2021 11:00,367.68,1,-7.65,375.33,0,0,0
04-01-2021 11:30,366.7,1,-8.63,375.33,0,0,0
04-01-2021 12:00,364.82,1,-10.51,375.33,0,0,0
04-01-2021 12:30,365.02,1,-10.31,375.33,0,0,0
04-01-2021 13:00,366.08,1,-9.25,375.33,0,0,0
04-01-2021 13:30,367.39,1,-7.94,375.33,0,0,0
04-01-2021 14:00,367.25,1,-8.08,375.33,0,0,0
04-01-2021 14:30,366.6,1,-8.73,375.33,0,0,0
04-01-2021 15:00,367.05,1,-8.28,375.33,0,0,0
04-01-2021 15:30,367.23,1,-8.1,375.33,0,0,0
05-01-2021 09:30,368.1,0,0,0,0,0,0
05-01-2021 10:00,369.29,0,0,0,0,0,0
05-01-2021 10:30,368.44,0,0,0,0,0,0
05-01-2021 11:00,368.33,0,0,0,0,0,0
05-01-2021 11:30,369.5,0,0,0,0,0,0
05-01-2021 12:00,369.67,0,0,0,0,0,0
05-01-2021 12:30,369.87,0,0,0,0,0,0
05-01-2021 13:00,370.35,0,0,0,0,0,0
05-01-2021 13:30,370.38,0,0,0,0,0,0
05-01-2021 14:00,370.9,0,0,0,0,0,0
05-01-2021 14:30,371.37,0,0,0,0,0,0
05-01-2021 15:00,371.04,0,0,0,0,0,0
05-01-2021 15:30,370.86,0,0,0,0,0,0
06-01-2021 09:30,369.12,1,-0.36,369.48,0,0,0
06-01-2021 10:00,371.96,3,3.3799,370.8333667,0,0,0
06-01-2021 10:30,373.81,4,9.7649,371.368775,1,0,0
06-01-2021 11:00,375.02,6,15.5949,372.42085,3,0,0
06-01-2021 11:30,375.11,7,15.3049,372.9235857,4,0,0
06-01-2021 12:00,375.41,7,17.4049,372.9235857,4,0,0
06-01-2021 12:30,375.74,7,19.7149,372.9235857,4,0,0
06-01-2021 13:00,376.09,7,22.1649,372.9235857,4,0,0
06-01-2021 13:30,376.12,7,22.3749,372.9235857,4,0,0
06-01-2021 14:00,374.32,7,9.7749,372.9235857,4,0,0
06-01-2021 14:30,373,7,0.5349,372.9235857,4,0,0
06-01-2021 15:00,372.9,7,-0.1651,372.9235857,4,0,0
06-01-2021 15:30,372.83,7,-0.6551,372.9235857,4,0,0
07-01-2021 09:30,375.92,4,5.715,374.49125,4,0,0
07-01-2021 10:00,377.77,4,13.115,374.49125,4,0,0
07-01-2021 10:30,378.83,4,17.355,374.49125,4,0,0
07-01-2021 11:00,378.79,4,17.195,374.49125,4,0,0
07-01-2021 11:30,378.65,4,16.635,374.49125,4,0,0
07-01-2021 12:00,378.32,4,15.315,374.49125,4,0,0
07-01-2021 12:30,378.45,4,15.835,374.49125,4,0,0
07-01-2021 13:00,378.44,4,15.795,374.49125,4,0,0
07-01-2021 13:30,378.49,4,15.995,374.49125,4,0,0
07-01-2021 14:00,378.69,4,16.795,374.49125,4,0,0
07-01-2021 14:30,378.74,4,16.995,374.49125,4,0,0
07-01-2021 15:00,378.84,4,17.395,374.49125,4,0,0
07-01-2021 15:30,378.96,4,17.875,374.49125,4,0,0
08-01-2021 09:30,380.05,5,21.565,375.737,0,0,0
08-01-2021 10:00,378.85,1,-1.87,380.72,0,0,0
08-01-2021 10:30,378.91,1,-1.81,380.72,0,0,0
08-01-2021 11:00,379.57,1,-1.15,380.72,0,0,0
08-01-2021 11:30,379.55,1,-1.17,380.72,0,0,0
08-01-2021 12:00,379.61,1,-1.11,380.72,0,0,0
08-01-2021 12:30,379.61,1,-1.11,380.72,0,0,0
08-01-2021 13:00,377.81,1,-2.91,380.72,0,0,0
08-01-2021 13:30,377.11,1,-3.61,380.72,0,0,0
08-01-2021 14:00,378.17,1,-2.55,380.72,0,0,0
08-01-2021 14:30,378.83,1,-1.89,380.72,0,0,0
08-01-2021 15:00,379.96,1,-0.76,380.72,0,0,0
08-01-2021 15:30,380.23,1,-0.49,380.72,0,0,0
11-01-2021 09:30,377.72,1,-0.1,377.82,0,0,0
11-01-2021 10:00,378.84,2,0.89,378.395,1,0,0
11-01-2021 10:30,378.97,2,1.15,378.395,1,0,0
11-01-2021 11:00,378.6,2,0.41,378.395,1,0,0
11-01-2021 11:30,379.58,2,2.37,378.395,1,0,0
11-01-2021 12:00,379.72,2,2.65,378.395,1,0,0
11-01-2021 12:30,379.88,3,2.8,378.9466667,2,0,0
11-01-2021 13:00,379.67,3,2.17,378.9466667,2,0,0
11-01-2021 13:30,378.78,4,-2.01,379.2825,3,0,0
11-01-2021 14:00,378.32,4,-3.85,379.2825,3,0,0
